date,description,merchant,amount,type,payment_method,source,category,description_clean
2024-04-12,Payment to School Fee Office,School Fee Office,6357.58,expense,Net Banking,manual,Education,payment to school fee office
2024-04-12,Payment to Subway,Subway,607.3,expense,Cash,csv_import,Food,payment to subway
2024-04-12,UPI-Subway-43458,Subway,526.68,expense,Cash,csv_import,Food,upi-subway-43458
2024-04-12,Amazon  order  #72339,Amazon,5260.75,expense,UPI,csv_import,Shopping,amazon order #72339
2024-04-12,IKEA order #18481,IKEA,6370.21,expense,Net Banking,excel_import,Shopping,ikea order #18481
2024-04-12,Subway food delivery,Subway,652.99,expense,Card,manual,Food,subway food delivery
2024-04-12,McDonalds dine in,McDonalds,879.15,expense,Cash,excel_import,Food,mcdonalds dine in
2024-04-12,DMart monthly groceries,DMart,949.68,expense,Cash,excel_import,Groceries,dmart monthly groceries
2024-04-13,library course fee   ,Library,8112.52,expense,UPI,csv_import,Education,library course fee
2024-04-13,UPI-Dominos-40089,Dominos,212.08,expense,UPI,manual,Food,upi-dominos-40089
2024-04-13,NEFT-Landlord Transfer-23438,Landlord Transfer,27785.74,expense,NEFT,excel_import,Rent,neft-landlord transfer-23438
2024-04-13,Reliance  Trends  order  #70747,Reliance Trends,2348.58,expense,Net Banking,excel_import,Shopping,reliance trends order #70747
2024-04-13,UPI-Local Salon-52496,Local Salon,815.69,expense,Cash,csv_import,Personal Care,upi-local salon-52496
2024-04-13,Blinkit delivery,Blinkit,3669.81,expense,UPI,manual,Groceries,blinkit delivery
2024-04-13,Zepto delivery,Zepto,4139.52,expense,UPI,excel_import,Groceries,zepto delivery
2024-04-13,UPI-Bharat Petroleum-7553,Bharat Petroleum,1304.12,expense,UPI,csv_import,Transport,upi-bharat petroleum-7553
2024-04-13,Starbucks dine in,Starbucks,821.98,expense,Card,excel_import,Food,starbucks dine in
2024-04-14,Jio bill payment,Jio,3358.52,expense,UPI,csv_import,Bills & Utilities,jio bill payment
2024-04-14,Local Restaurant order #58873,Local Restaurant,110.59,expense,UPI,manual,Food,local restaurant order #58873
2024-04-14,Steam movie tickets,Steam,1130.12,expense,Net Banking,manual,Entertainment,steam movie tickets
2024-04-14,Big Bazaar purchase,Big Bazaar,1496.55,expense,Net Banking,manual,Shopping,big bazaar purchase
2024-04-15,Netflix monthly plan,Netflix,274.76,expense,Net Banking,excel_import,Entertainment,netflix monthly plan
2024-04-16,Auto-debit Municipal Water Board,Municipal Water Board,537.5,expense,Net Banking,excel_import,Bills & Utilities,auto-debit municipal water board
2024-04-16,POS-Big Bazaar-66987,Big Bazaar,621.18,expense,UPI,excel_import,Shopping,pos-big bazaar-66987
2024-04-16,McDonalds order #68589,McDonalds,204.17,expense,Cash,excel_import,Food,mcdonalds order #68589
2024-04-16,More Supermarket order #53482,More Supermarket,2223.23,expense,Cash,manual,Groceries,more supermarket order #53482
2024-04-16,Payment to OYO Rooms,OYO Rooms,13462.53,expense,Card,excel_import,Travel,payment to oyo rooms
2024-04-16,Cult.fit service,Cult.fit,1364.88,expense,Cash,csv_import,Personal Care,cultfit service
2024-04-16,Starbucks online order,Starbucks,119.87,expense,Cash,manual,Food,starbucks online order
2024-04-16,Big Bazaar order #19807,Big Bazaar,5537.67,expense,Card,csv_import,Shopping,big bazaar order #19807
2024-04-17,UPI-Municipal Water Board-86453,Municipal Water Board,2024.82,expense,UPI,manual,Bills & Utilities,upi-municipal water board-86453
2024-04-17,More Supermarket delivery,More Supermarket,2327.75,expense,Cash,manual,Groceries,more supermarket delivery
2024-04-17,Nykaa membership renewal,Nykaa,2505.26,expense,UPI,excel_import,Personal Care,nykaa membership renewal
2024-04-17,Ola trip,Ola,693.56,expense,Card,csv_import,Transport,ola trip
2024-04-17,Max Healthcare purchase,Max Healthcare,4440.44,expense,UPI,manual,Healthcare,max healthcare purchase
2024-04-17,Municipal Water Board postpaid bill,Municipal Water Board,1995.96,expense,Auto Debit,manual,Bills & Utilities,municipal water board postpaid bill
2024-04-17,Yatra booking,Yatra,16151.12,expense,Net Banking,csv_import,Travel,yatra booking
2024-04-18,Payment  to  Local  Salon,Local Salon,2759.55,expense,Card,csv_import,Personal Care,payment to local salon
2024-04-18,Metro Card Recharge trip,Metro Card Recharge,1356.54,expense,Card,excel_import,Transport,metro card recharge trip
2024-04-18,Netmeds consultation fee,Netmeds,3120.94,expense,Card,excel_import,Healthcare,netmeds consultation fee
2024-04-18,POS-Big Bazaar-71183,Big Bazaar,1257.52,expense,UPI,excel_import,Shopping,pos-big bazaar-71183
2024-04-18,Big Bazaar purchase,Big Bazaar,5381.03,expense,Net Banking,excel_import,Shopping,big bazaar purchase
2024-04-19,Cafe Coffee Day online order,Cafe Coffee Day,694.83,expense,Cash,csv_import,Food,cafe coffee day online order
2024-04-19,MedPlus medicines,MedPlus,1027.12,expense,UPI,csv_import,Healthcare,medplus medicines
2024-04-19,HP Petrol Pump booking,HP Petrol Pump,1595.01,expense,Card,csv_import,Transport,hp petrol pump booking
2024-04-19,Cafe Coffee Day food delivery,Cafe Coffee Day,127.61,expense,Cash,excel_import,Food,cafe coffee day food delivery
2024-04-19,UPI-Zomato-1525,Zomato,1078.37,expense,UPI,csv_import,Food,upi-zomato-1525
2024-04-19,Payment to Vistara,Vistara,5137.3,expense,Net Banking,csv_import,Travel,payment to vistara
2024-04-19,LPG Gas Agency monthly bill,LPG Gas Agency,628.46,expense,Auto Debit,excel_import,Bills & Utilities,lpg gas agency monthly bill
2024-04-19,Amazon Prime monthly plan,Amazon Prime,611.5,expense,UPI,csv_import,Entertainment,amazon prime monthly plan
2024-04-20,Payment to Decathlon,Decathlon,345.99,expense,Card,excel_import,Shopping,payment to decathlon
2024-04-20,Payment to Zomato,Zomato,1107.56,expense,Card,csv_import,Food,payment to zomato
2024-04-20,Rapido recharge,Rapido,1357.25,expense,Cash,manual,Transport,rapido recharge
2024-04-20,ACT Fibernet postpaid bill,ACT Fibernet,647.12,expense,UPI,csv_import,Bills & Utilities,act fibernet postpaid bill
2024-04-21,BookMyShow movie tickets,BookMyShow,385.08,expense,UPI,excel_import,Entertainment,bookmyshow movie tickets
2024-04-21,Monthly rent payment,Housing Society,20193.46,expense,Net Banking,manual,Rent,monthly rent payment
2024-04-21,Bharat Petroleum booking,Bharat Petroleum,288.07,expense,UPI,manual,Transport,bharat petroleum booking
2024-04-21,MedPlus medicines,MedPlus,2504.12,expense,UPI,csv_import,Healthcare,medplus medicines
2024-04-22,KFC dine in,KFC,1005.75,expense,Cash,manual,Food,kfc dine in
2024-04-22,UPI-Cult.fit-18225,Cult.fit,2881.5,expense,Card,manual,Personal Care,upi-cultfit-18225
2024-04-22,Decathlon purchase,Decathlon,3999.05,expense,UPI,excel_import,Shopping,decathlon purchase
2024-04-22,Steam subscription,Steam,900.21,expense,UPI,csv_import,Entertainment,steam subscription
2024-04-22,DMart monthly groceries,DMart,807.64,expense,Cash,csv_import,Groceries,dmart monthly groceries
2024-04-22,Ajio purchase,Ajio,4262.02,expense,Net Banking,excel_import,Shopping,ajio purchase
2024-04-23,Payment to KFC,KFC,719.23,expense,UPI,manual,Food,payment to kfc
2024-04-23,POS-Big Bazaar-11778,Big Bazaar,1431.02,expense,Net Banking,excel_import,Shopping,pos-big bazaar-11778
2024-04-23,Payment to Apollo Pharmacy,Apollo Pharmacy,4175.36,expense,Card,csv_import,Healthcare,payment to apollo pharmacy
2024-04-23,Apollo Pharmacy consultation fee,Apollo Pharmacy,4280.51,expense,UPI,csv_import,Healthcare,apollo pharmacy consultation fee
2024-04-23,Nykaa online shopping,Nykaa,544.16,expense,Card,manual,Shopping,nykaa online shopping
2024-04-23,POS-Amazon-14557,Amazon,6044.51,expense,UPI,csv_import,Shopping,pos-amazon-14557
2024-04-23,School Fee Office subscription,School Fee Office,7959.59,expense,Net Banking,manual,Education,school fee office subscription
2024-04-24,Practo consultation fee,Practo,2816.24,expense,Cash,excel_import,Healthcare,practo consultation fee
2024-04-24,Payment to Zomato,Zomato,860.73,expense,Card,manual,Food,payment to zomato
2024-04-24,Auto Rickshaw trip!!,Auto Rickshaw,2184.44,expense,Cash,csv_import,Transport,auto rickshaw trip
2024-04-24,flipkart purchase   ,Flipkart,895.29,expense,Net Banking,excel_import,Shopping,flipkart purchase
2024-04-24,UPI-Health & Glow-20215,Health & Glow,433.8,expense,UPI,manual,Personal Care,upi-health  glow-20215
2024-04-25,Grocery - BigBasket,BigBasket,2078.46,expense,Cash,manual,Groceries,grocery - bigbasket
2024-04-25,BSES Electricity bill payment,Unknown,1392.18,expense,UPI,manual,Bills & Utilities,bses electricity bill payment
2024-04-25,Fuel - Bharat Petroleum,Bharat Petroleum,1842.52,expense,UPI,manual,Transport,fuel - bharat petroleum
2024-04-25,Payment to OYO Rooms,OYO Rooms,22358.46,expense,Net Banking,manual,Travel,payment to oyo rooms
2024-04-25,Local Coaching Center tuition fee,Local Coaching Center,6066.69,expense,UPI,manual,Education,local coaching center tuition fee
2024-04-25,UPI-Gym Membership-67492,Gym Membership,2641.9,expense,Card,manual,Personal Care,upi-gym membership-67492
2024-04-25,HP  Petrol  Pump  trip,HP Petrol Pump,2001.7,expense,Cash,csv_import,Transport,hp petrol pump trip
2024-04-25,McDonalds dine in,McDonalds,350.01,expense,Cash,excel_import,Food,mcdonalds dine in
2024-04-25,UPI-Zomato-59171,Zomato,652.36,expense,UPI,manual,Food,upi-zomato-59171
2024-04-26,Auto-debit Tata Power,Tata Power,2769.92,expense,Auto Debit,manual,Bills & Utilities,auto-debit tata power
2024-04-26,UPI-Fortis Hospital-75509,Fortis Hospital,4979.0,expense,UPI,manual,Healthcare,upi-fortis hospital-75509
2024-04-26,Local Restaurant food delivery,Local Restaurant,528.87,expense,Card,csv_import,Food,local restaurant food delivery
2024-04-27,INOX monthly plan,INOX,666.45,expense,UPI,manual,Entertainment,inox monthly plan
2024-04-27,Max Healthcare consultation fee,Max Healthcare,2221.48,expense,Card,manual,Healthcare,max healthcare consultation fee
2024-04-27,UPI-Swiggy-33831,Swiggy,121.91,expense,Cash,manual,Food,upi-swiggy-33831
2024-04-27,Coursera course fee,Coursera,826.08,expense,Card,excel_import,Education,coursera course fee
2024-04-27,Starbucks order #94163,Starbucks,105.3,expense,Card,excel_import,Food,starbucks order #94163
2024-04-28,McDonalds dine in,McDonalds,934.3,expense,Card,manual,Food,mcdonalds dine in
2024-04-28,Payment to Vistara,Vistara,3732.46,expense,Card,manual,Travel,payment to vistara
2024-04-28,BigBasket order #12395,BigBasket,4141.47,expense,UPI,csv_import,Groceries,bigbasket order #12395
2024-04-28,Swiggy order #91406,Swiggy,546.79,expense,Card,manual,Food,swiggy order #91406
2024-04-28,Cult.fit membership renewal,Cult.fit,1887.33,expense,Cash,csv_import,Personal Care,cultfit membership renewal
2024-04-28,Metro Card Recharge trip,Metro Card Recharge,2343.23,expense,Card,excel_import,Transport,metro card recharge trip
2024-04-28,UPI-INOX-19057,INOX,712.57,expense,Net Banking,csv_import,Entertainment,upi-inox-19057
2024-04-28,salary credit april   ,Acme Corp Payroll,40600.0,income,NEFT,csv_import,Salary,salary credit april
2024-04-28,Salary credit April,Acme Corp Payroll,112800.0,income,NEFT,excel_import,Salary,salary credit april
2024-04-28,Haldiram's food delivery,Haldiram's,756.92,expense,Card,csv_import,Food,haldirams food delivery
2024-04-28,HCL Salary salary,HCL Salary,32800.0,income,Bank Transfer,manual,Salary,hcl salary salary
2024-04-29,Rent - NoBroker Rent Pay,NoBroker Rent Pay,31344.03,expense,NEFT,excel_import,Rent,rent - nobroker rent pay
2024-04-29,UPI-Rapido-38465,Rapido,224.77,expense,Card,manual,Transport,upi-rapido-38465
2024-04-29,Steam monthly plan,Steam,1035.86,expense,Card,csv_import,Entertainment,steam monthly plan
2024-04-29,Local Coaching Center course fee,Local Coaching Center,9564.8,expense,UPI,csv_import,Education,local coaching center course fee
2024-04-30,Subway food delivery,Subway,1156.01,expense,UPI,manual,Food,subway food delivery
2024-04-30,UPI-Cafe Coffee Day-99616,Cafe Coffee Day,184.37,expense,Cash,manual,Food,upi-cafe coffee day-99616
2024-04-30,Local Restaurant dine in,Local Restaurant,1179.39,expense,Cash,excel_import,Food,local restaurant dine in
2024-04-30,UPI-BSES Electricity-62720,BSES Electricity,2969.5,expense,UPI,manual,Bills & Utilities,upi-bses electricity-62720
2024-04-30,KFC online order,KFC,521.7,expense,UPI,excel_import,Food,kfc online order
2024-04-30,Starbucks food delivery,Starbucks,684.33,expense,UPI,manual,Food,starbucks food delivery
2024-04-30,BSES Electricity monthly bill,BSES Electricity,2519.2,expense,UPI,manual,Bills & Utilities,bses electricity monthly bill
2024-05-01,Salary credit May,HCL Salary,86500.0,income,Bank Transfer,csv_import,Salary,salary credit may
2024-05-01,Payment to Local Salon,Local Salon,874.4,expense,UPI,csv_import,Personal Care,payment to local salon
2024-05-01,Acme Corp Payroll salary,Acme Corp Payroll,91000.0,income,Bank Transfer,excel_import,Salary,acme corp payroll salary
2024-05-01,Yatra flight ticket,Yatra,5610.34,expense,Net Banking,manual,Travel,yatra flight ticket
2024-05-01,Employer Pvt Ltd salary,Employer Pvt Ltd,33000.0,income,Bank Transfer,excel_import,Salary,employer pvt ltd salary
2024-05-01,Local Restaurant food delivery,Local Restaurant,402.38,expense,Card,csv_import,Food,local restaurant food delivery
2024-05-01,Airtel bill payment,Airtel,1570.13,expense,Net Banking,manual,Bills & Utilities,airtel bill payment
2024-05-01,Salary credit May,TCS Salary,69000.0,income,NEFT,manual,Salary,salary credit may
2024-05-01,TCS Salary salary,TCS Salary,74400.0,income,Bank Transfer,manual,Salary,tcs salary salary
2024-05-01,Monthly salary - Acme Corp Payroll,Acme Corp Payroll,70700.0,income,Bank Transfer,csv_import,Salary,monthly salary - acme corp payroll
2024-05-02,POS-Flipkart-49864,Flipkart,4115.92,expense,Card,manual,Shopping,pos-flipkart-49864
2024-05-02,IKEA order #19385,IKEA,5209.47,expense,UPI,csv_import,Shopping,ikea order #19385
2024-05-03,More Supermarket order #83403,More Supermarket,623.57,expense,Card,csv_import,Groceries,more supermarket order #83403
2024-05-04,Reliance Fresh delivery,Reliance Fresh,2546.62,expense,UPI,csv_import,Groceries,reliance fresh delivery
2024-05-04,UPI-Airbnb-84634,Airbnb,18139.76,expense,Card,manual,Travel,upi-airbnb-84634
2024-05-04,Payment to 1mg,1mg,367.19,expense,Card,manual,Healthcare,payment to 1mg
2024-05-04,Myntra purchase,Myntra,2098.12,expense,UPI,manual,Shopping,myntra purchase
2024-05-04,Auto Rickshaw booking,Auto Rickshaw,910.38,expense,Cash,manual,Transport,auto rickshaw booking
2024-05-04,Auto-debit LPG Gas Agency,LPG Gas Agency,1224.75,expense,UPI,manual,Bills & Utilities,auto-debit lpg gas agency
2024-05-05,IKEA purchase,Unknown,3278.82,expense,Card,manual,Shopping,ikea purchase
2024-05-05,UPI-Health & Glow-5860,Health & Glow,1492.14,expense,Card,excel_import,Personal Care,upi-health  glow-5860
2024-05-05,Fortis Hospital consultation fee,Fortis Hospital,2522.15,expense,Cash,csv_import,Healthcare,fortis hospital consultation fee
2024-05-05,Swiggy food delivery,Swiggy,1049.08,expense,Card,excel_import,Food,swiggy food delivery
2024-05-05,Payment to Local Restaurant,Local Restaurant,379.57,expense,UPI,manual,Food,payment to local restaurant
2024-05-05,Payment to Gym Membership,Gym Membership,897.5,expense,Card,csv_import,Personal Care,payment to gym membership
2024-05-05,Payment to Starbucks,Starbucks,1125.1,expense,Card,manual,Food,payment to starbucks
2024-05-06,UPI-Haldiram's-23149,Haldiram's,490.58,expense,Cash,manual,Food,upi-haldirams-23149
2024-05-06,Housing Society rent transfer,Housing Society,21319.73,expense,NEFT,manual,Rent,housing society rent transfer
2024-05-06,Goibibo flight ticket,Goibibo,11005.7,expense,Card,csv_import,Travel,goibibo flight ticket
2024-05-07,Gym Membership membership renewal,Gym Membership,467.91,expense,UPI,manual,Personal Care,gym membership membership renewal
2024-05-07,BigBasket delivery,BigBasket,3670.78,expense,Cash,manual,Groceries,bigbasket delivery
2024-05-07,Jio monthly bill,Jio,1935.43,expense,Net Banking,manual,Bills & Utilities,jio monthly bill
2024-05-07,BSES Electricity postpaid bill,BSES Electricity,1972.02,expense,UPI,manual,Bills & Utilities,bses electricity postpaid bill
2024-05-08,UPI-Udemy-35851,Udemy,11037.11,expense,Card,manual,Education,upi-udemy-35851
2024-05-08,Yatra hotel booking!!,Yatra,4675.18,expense,Card,manual,Travel,yatra hotel booking
2024-05-08,POS-Croma-53517,Croma,7339.91,expense,Net Banking,excel_import,Shopping,pos-croma-53517
2024-05-08,Zepto order #29404,Zepto,3849.66,expense,Card,excel_import,Groceries,zepto order #29404
2024-05-08,Spencer's delivery,Spencer's,3199.96,expense,Cash,excel_import,Groceries,spencers delivery
2024-05-08,Flipkart online shopping,Flipkart,2138.6,expense,Card,csv_import,Shopping,flipkart online shopping
2024-05-09,Payment to KFC,KFC,168.57,expense,Card,csv_import,Food,payment to kfc
2024-05-09,UPI-HP Petrol Pump-14411,HP Petrol Pump,2002.37,expense,Cash,excel_import,Transport,upi-hp petrol pump-14411
2024-05-09,Cafe Coffee Day online order,Cafe Coffee Day,1058.1,expense,Card,csv_import,Food,cafe coffee day online order
2024-05-09,Payment to Haldiram's,Haldiram's,610.39,expense,UPI,excel_import,Food,payment to haldirams
2024-05-09,Coursera tuition fee,Coursera,6126.54,expense,UPI,csv_import,Education,coursera tuition fee
2024-05-09,1mg purchase,1mg,3718.24,expense,Cash,manual,Healthcare,1mg purchase
2024-05-09,Dominos food delivery,Dominos,910.72,expense,Cash,manual,Food,dominos food delivery
2024-05-09,Starbucks dine in,Starbucks,499.29,expense,Cash,csv_import,Food,starbucks dine in
2024-05-10,UPI-Ola-49200,Ola,2140.66,expense,Card,excel_import,Transport,upi-ola-49200
2024-05-10,Payment to Health & Glow,Health & Glow,1712.51,expense,UPI,manual,Personal Care,payment to health  glow
2024-05-10,POS-Big Bazaar-76324,Big Bazaar,4162.01,expense,UPI,excel_import,Shopping,pos-big bazaar-76324
2024-05-10,Grocery - Local Kirana Store,Local Kirana Store,4419.03,expense,Cash,manual,Groceries,grocery - local kirana store
2024-05-10,UPI-Local Kirana Store-78635,Local Kirana Store,1388.06,expense,Cash,excel_import,Groceries,upi-local kirana store-78635
2024-05-11,Reliance Trends order #12159,Reliance Trends,7563.63,expense,Card,manual,Shopping,reliance trends order #12159
2024-05-11,POS-Reliance Trends-76885,Unknown,953.65,expense,Net Banking,excel_import,Shopping,pos-reliance trends-76885
2024-05-11,Hotstar subscription,Hotstar,904.69,expense,Net Banking,manual,Entertainment,hotstar subscription
2024-05-11,OYO Rooms booking,OYO Rooms,19030.38,expense,Card,csv_import,Travel,oyo rooms booking
2024-05-11,Grocery - BigBasket,BigBasket,2713.67,expense,Card,excel_import,Groceries,grocery - bigbasket
2024-05-11,Rent - NoBroker Rent Pay,NoBroker Rent Pay,16222.63,expense,Net Banking,manual,Rent,rent - nobroker rent pay
2024-05-12,Gym Membership membership renewal,Gym Membership,1247.12,expense,Cash,csv_import,Personal Care,gym membership membership renewal
2024-05-12,Grocery - Local Kirana Store,Local Kirana Store,2553.1,expense,Card,excel_import,Groceries,grocery - local kirana store
2024-05-12,Local Coaching Center subscription,Local Coaching Center,9168.51,expense,UPI,excel_import,Education,local coaching center subscription
2024-05-13,HP Petrol Pump recharge,HP Petrol Pump,297.07,expense,Cash,excel_import,Transport,hp petrol pump recharge
2024-05-13,UPI-Local Salon-89000,Local Salon,1869.67,expense,UPI,manual,Personal Care,upi-local salon-89000
2024-05-13,Health & Glow membership renewal,Health & Glow,2329.86,expense,Cash,excel_import,Personal Care,health  glow membership renewal
2024-05-13,Payment to Nykaa,Nykaa,6148.44,expense,UPI,csv_import,Shopping,payment to nykaa
2024-05-13,Payment to Local Restaurant,Local Restaurant,286.29,expense,UPI,manual,Food,payment to local restaurant
2024-05-14,Apollo Pharmacy medicines,Apollo Pharmacy,4231.97,expense,UPI,manual,Healthcare,apollo pharmacy medicines
2024-05-14,Local Restaurant dine in,Local Restaurant,1064.87,expense,UPI,csv_import,Food,local restaurant dine in
2024-05-14,UPI-Zepto-46169,Zepto,2799.75,expense,Card,csv_import,Groceries,upi-zepto-46169
2024-05-15,Swiggy dine in,Swiggy,325.78,expense,UPI,excel_import,Food,swiggy dine in
2024-05-15,Airtel monthly bill,Airtel,2251.34,expense,UPI,csv_import,Bills & Utilities,airtel monthly bill
2024-05-15,Indian Oil ride payment,Indian Oil,772.75,expense,UPI,excel_import,Transport,indian oil ride payment
2024-05-15,Payment to SonyLIV,SonyLIV,1357.49,expense,UPI,manual,Entertainment,payment to sonyliv
2024-05-15,Payment to Coursera,Coursera,4934.54,expense,Net Banking,manual,Education,payment to coursera
2024-05-16,Payment to Amazon,Amazon,2309.39,expense,Card,excel_import,Shopping,payment to amazon
2024-05-16,Uber ride payment,Uber,1716.12,expense,UPI,csv_import,Transport,uber ride payment
2024-05-16,Zomato online order,Zomato,1161.05,expense,Card,manual,Food,zomato online order
2024-05-17,HP Petrol Pump booking,HP Petrol Pump,78.43,expense,Cash,manual,Transport,hp petrol pump booking
2024-05-17,UPI-Steam-65738,Steam,1291.33,expense,UPI,csv_import,Entertainment,upi-steam-65738
2024-05-17,School Fee Office subscription,School Fee Office,8218.73,expense,Net Banking,csv_import,Education,school fee office subscription
2024-05-17,Payment to Airbnb,Airbnb,11017.37,expense,Net Banking,manual,Travel,payment to airbnb
2024-05-17,Local Clinic medicines,Local Clinic,3749.6,expense,UPI,csv_import,Healthcare,local clinic medicines
2024-05-18,Zomato order #81438,Zomato,889.07,expense,Cash,manual,Food,zomato order #81438
2024-05-18,Payment to PVR Cinemas,PVR Cinemas,310.79,expense,Net Banking,csv_import,Entertainment,payment to pvr cinemas
2024-05-18,Zepto delivery,Zepto,2181.2,expense,UPI,csv_import,Groceries,zepto delivery
2024-05-18,Bharat Petroleum trip,Bharat Petroleum,2206.57,expense,Card,csv_import,Transport,bharat petroleum trip
2024-05-18,Payment to Udemy,Udemy,474.03,expense,Net Banking,csv_import,Education,payment to udemy
2024-05-18,Payment to Gym Membership,Gym Membership,2588.07,expense,UPI,manual,Personal Care,payment to gym membership
2024-05-18,Cleartrip flight ticket,Cleartrip,21541.42,expense,Net Banking,manual,Travel,cleartrip flight ticket
2024-05-19,Bharat Petroleum booking,Bharat Petroleum,257.43,expense,Cash,csv_import,Transport,bharat petroleum booking
2024-05-19,Payment to Decathlon,Decathlon,575.01,expense,UPI,excel_import,Shopping,payment to decathlon
2024-05-19,Yatra hotel booking,Yatra,23415.5,expense,Card,manual,Travel,yatra hotel booking
2024-05-19,Coursera tuition fee,Coursera,235.3,expense,Card,excel_import,Education,coursera tuition fee
2024-05-19,Health & Glow membership renewal,Health & Glow,2380.6,expense,Card,excel_import,Personal Care,health  glow membership renewal
2024-05-19,LPG Gas Agency monthly bill,LPG Gas Agency,3203.08,expense,Auto Debit,manual,Bills & Utilities,lpg gas agency monthly bill
2024-05-19,Zomato dine in,Zomato,453.56,expense,Cash,manual,Food,zomato dine in
2024-05-19,UPI-SonyLIV-52013,SonyLIV,697.89,expense,Net Banking,excel_import,Entertainment,upi-sonyliv-52013
2024-05-19,INOX monthly plan,INOX,113.41,expense,Net Banking,csv_import,Entertainment,inox monthly plan
2024-05-20,Flipkart order #89795,Flipkart,3155.6,expense,Card,csv_import,Shopping,flipkart order #89795
2024-05-20,Apollo Pharmacy purchase,Apollo Pharmacy,2993.77,expense,Card,excel_import,Healthcare,apollo pharmacy purchase
2024-05-20,Payment to Local Clinic,Local Clinic,2663.13,expense,UPI,csv_import,Healthcare,payment to local clinic
2024-05-20,Payment to School Fee Office,School Fee Office,9604.7,expense,Card,manual,Education,payment to school fee office
2024-05-20,Spencer's order #76225,Spencer's,2523.73,expense,Card,csv_import,Groceries,spencers order #76225
2024-05-20,Local Restaurant food delivery,Local Restaurant,508.65,expense,UPI,excel_import,Food,local restaurant food delivery
2024-05-21,McDonalds order #43931,McDonalds,326.13,expense,Cash,excel_import,Food,mcdonalds order #43931
2024-05-21,Apollo Pharmacy purchase,Apollo Pharmacy,1775.15,expense,UPI,manual,Healthcare,apollo pharmacy purchase
2024-05-21,Jio postpaid bill,Jio,2138.35,expense,Auto Debit,manual,Bills & Utilities,jio postpaid bill
2024-05-21,UPI-Netflix-39656,Netflix,862.22,expense,UPI,excel_import,Entertainment,upi-netflix-39656
2024-05-21,POS-Decathlon-88281,Decathlon,4923.26,expense,UPI,csv_import,Shopping,pos-decathlon-88281
2024-05-21,Payment to INOX,INOX,812.85,expense,Card,manual,Entertainment,payment to inox
2024-05-21,Reliance Fresh delivery,Reliance Fresh,975.01,expense,UPI,csv_import,Groceries,reliance fresh delivery
2024-05-21,NEFT-Landlord Transfer-96502,Landlord Transfer,29085.89,expense,NEFT,manual,Rent,neft-landlord transfer-96502
2024-05-22,Payment to Hotstar,Hotstar,224.17,expense,Card,csv_import,Entertainment,payment to hotstar
2024-05-22,MedPlus medicines,MedPlus,1454.26,expense,UPI,csv_import,Healthcare,medplus medicines
2024-05-22,Hotstar subscription,Hotstar,1158.89,expense,UPI,manual,Entertainment,hotstar subscription
2024-05-22,UPI-Vodafone Idea-99546,Vodafone Idea,672.15,expense,UPI,manual,Bills & Utilities,upi-vodafone idea-99546
2024-05-22,payment to school fee office   ,School Fee Office,9461.01,expense,Card,manual,Education,payment to school fee office
2024-05-23,UPI-Indian Oil-59800,Indian Oil,1083.61,expense,Card,csv_import,Transport,upi-indian oil-59800
2024-05-23,Subway online order,Subway,119.98,expense,UPI,excel_import,Food,subway online order
2024-05-23,Auto-debit Vodafone Idea,Vodafone Idea,3223.79,expense,Net Banking,manual,Bills & Utilities,auto-debit vodafone idea
2024-05-23,Auto-debit Tata Power,Tata Power,2819.12,expense,Auto Debit,excel_import,Bills & Utilities,auto-debit tata power
2024-05-24,Zepto delivery,Zepto,1887.27,expense,Cash,excel_import,Groceries,zepto delivery
2024-05-24,BigBasket monthly groceries,BigBasket,817.59,expense,UPI,excel_import,Groceries,bigbasket monthly groceries
2024-05-24,Payment to Byju's,Byju's,5748.21,expense,UPI,excel_import,Education,payment to byjus
2024-05-24,Payment to Ajio,Ajio,6420.1,expense,Net Banking,csv_import,Shopping,payment to ajio
2024-05-24,Spotify movie tickets,Spotify,944.03,expense,UPI,csv_import,Entertainment,spotify movie tickets
2024-05-25,UPI-Dominos-93365,Dominos,947.29,expense,Cash,csv_import,Food,upi-dominos-93365
2024-05-25,Spencer's delivery,Spencer's,3500.86,expense,UPI,manual,Groceries,spencers delivery
2024-05-25,Spencer's monthly groceries,Spencer's,4101.18,expense,Cash,csv_import,Groceries,spencers monthly groceries
2024-05-25,OYO Rooms flight ticket,OYO Rooms,17297.59,expense,Net Banking,manual,Travel,oyo rooms flight ticket
2024-05-26,Bharat Petroleum trip,Bharat Petroleum,1927.48,expense,Card,excel_import,Transport,bharat petroleum trip
2024-05-26,Monthly rent payment,Landlord Transfer,14553.63,expense,NEFT,csv_import,Rent,monthly rent payment
2024-05-26,Payment to Airbnb,Airbnb,6956.43,expense,Net Banking,csv_import,Travel,payment to airbnb
2024-05-26,Library subscription,Library,10110.38,expense,UPI,csv_import,Education,library subscription
2024-05-26,Big Bazaar online shopping,Big Bazaar,3648.78,expense,UPI,csv_import,Shopping,big bazaar online shopping
2024-05-26,McDonalds order #36082,McDonalds,1131.23,expense,Cash,manual,Food,mcdonalds order #36082
2024-05-26,Swiggy online order,Swiggy,757.73,expense,UPI,excel_import,Food,swiggy online order
2024-05-27,MakeMyTrip hotel booking,MakeMyTrip,16244.79,expense,Card,manual,Travel,makemytrip hotel booking
